# layer_id eta phi delta_eta delta_phi rmin rmax
L 4 -0.8 0.8 16 -3.14159265 3.14159265 64 2280 2680
C 4 -0.35 -2.01258279 0.1 0.09817477 2280 2680 layer4_eta4_phi11 4 11
C 4 -0.35 -1.91440802 0.1 0.09817477 2280 2680 layer4_eta4_phi12 4 12
C 4 -0.35 -1.81623325 0.1 0.09817477 2280 2680 layer4_eta4_phi13 4 13
C 4 -0.35 -1.71805848 0.1 0.09817477 2280 2680 layer4_eta4_phi14 4 14
C 4 -0.35 -1.61988371 0.1 0.09817477 2280 2680 layer4_eta4_phi15 4 15
C 4 -0.35 -1.52170894 0.1 0.09817477 2280 2680 layer4_eta4_phi16 4 16
C 4 -0.35 -1.42353417 0.1 0.09817477 2280 2680 layer4_eta4_phi17 4 17
C 4 -0.35 -1.3253594 0.1 0.09817477 2280 2680 layer4_eta4_phi18 4 18
C 4 -0.35 -1.22718463 0.1 0.09817477 2280 2680 layer4_eta4_phi19 4 19
C 4 -0.35 -1.12900986 0.1 0.09817477 2280 2680 layer4_eta4_phi20 4 20
C 4 -0.35 -1.03083509 0.1 0.09817477 2280 2680 layer4_eta4_phi21 4 21
C 4 -0.35 -0.93266032 0.1 0.09817477 2280 2680 layer4_eta4_phi22 4 22
C 4 -0.35 -0.83448555 0.1 0.09817477 2280 2680 layer4_eta4_phi23 4 23
C 4 -0.35 -0.73631078 0.1 0.09817477 2280 2680 layer4_eta4_phi24 4 24
C 4 -0.35 -0.63813601 0.1 0.09817477 2280 2680 layer4_eta4_phi25 4 25
C 4 -0.35 -0.53996124 0.1 0.09817477 2280 2680 layer4_eta4_phi26 4 26
C 4 -0.35 -0.44178647 0.1 0.09817477 2280 2680 layer4_eta4_phi27 4 27
C 4 -0.35 -0.3436117 0.1 0.09817477 2280 2680 layer4_eta4_phi28 4 28
C 4 -0.35 -0.24543693 0.1 0.09817477 2280 2680 layer4_eta4_phi29 4 29
